neg_proba,pos_proba,Tweet,sentiment,created_at
0.97944736,0.020552672,حتى لو كل الشعب اخذ اللقاح يا ريت ثقافة البوس ما ترجع ابدا,very negative,2021-04-30 23:58:01
0.97944736,0.020552672,حتى لو كل الشعب اخذ اللقاح يا ريت ثقافة البوس ما ترجع ابدا,very negative,2021-04-30 23:54:29
0.9541129,0.04588717,هل في خدمة تلقيح لكبار السن في المنزل    اذا فيه ماهي الية التسجيل    ومانوع اللقاح,very negative,2021-04-30 22:07:53
0.9793646999999999,0.020635348,يادي البلاوي الي ورا بعضيها    شو نعمل طيب  ناخد اللقاح ولا لا  و اي نوع,very negative,2021-04-30 20:21:43
0.97224605,0.027753902999999996,اللي اخد اللقاح هاي الفترة شو نوع اللي اخدتوه,very negative,2021-04-30 20:11:42
0.8804148999999999,0.11958513,"خبراء  اللقاح هو الحل الامثل لعودة التعليم الوجاهي
                       
 احداث اليوم  الاردن  كورونا",very negative,2021-04-30 19:04:06
0.6709321999999999,0.32906779999999997,"عاجل 

 لقاء الاسبوع 

عزمي محافظة  الحظر الجزئي غير مفيد   كورونا اكثر انتشارا بالبيوت   تلقي المطعوم مسالة اخلاق",negative,2021-04-30 18:59:15
0.97545403,0.024546005,على البعض اخذ اللقاح في منطقة الراس بلكي المخ اشتغل,very negative,2021-04-30 18:06:29
0.88286656,0.11713337,خبراء تربوي  ون  اللقاح هو الحل الامثل لعودة التعليم الوجاهي,very negative,2021-04-30 17:30:58
0.7917341999999999,0.20826578,تم تلقيح كل الشعب الاسرائيلي قبل رمضان عزيزتي  ولديهم فائض   مليون من اللقحات العالم كله يتسارع للحصول,very negative,2021-04-30 16:52:17
0.6023811,0.39761890000000005,في كل الاحوال القرار لن يصمد لوجود عدد ضخم في الامارات تلقى اللقاح الصيني و الحركه بين البلدين كبيره,negative,2021-04-30 16:40:27
0.8275925999999999,0.17240739,القرار له علاقه بكون اللقاح الصيني غير معتمد في السعوديه,very negative,2021-04-30 16:39:00
0.8824554,0.11754462,خبراء تربوي  ون  اللقاح هو الحل لعودة التعليم الوجاهي,very negative,2021-04-30 16:15:00
0.92883426,0.07116574,"خبراء تربوي  ون  اللقاح هو الحل الامثل لعودة التعليم الوجاهي
                       

 الاردن",very negative,2021-04-30 16:00:04
0.8971287,0.10287136,"عاجل

خبراء تربوي  ون  اللقاح هو الحل الامثل لعودة التعليم الوجاهي",very negative,2021-04-30 15:56:52
0.9001568000000001,0.09984318,"خبراء تربوي  ون  اللقاح هو الحل الامثل لعودة التعليم الوجاهي                         
 بترا  الاردن",very negative,2021-04-30 15:56:24
0.7796954,0.22030462,"شخص قرر يتلقى اللقاح 
  دائرة المؤامرات الماسونية بامريكا",very negative,2021-04-30 15:39:08
0.92630553,0.07369443,عاجل خبراء تربويون  اللقاح هو الحل الامثل لعودة التعليم الوجاهي,very negative,2021-04-30 15:14:00
0.905487,0.09451299,"ما نعرفه عن   كورونا في  الهند 

  الف وفاة 
  وفاة يوميا  
   فقط نسبة من اخذوا اللقاح الجرعه الاولى
   فقط",very negative,2021-04-30 15:02:37
0.8466798000000001,0.15332022,لقاء الدكتور محمد حسن الطراونة المتحور الهندي و اللقاح,very negative,2021-04-30 14:55:59
0.82542264,0.17457737,"خبراء تربوي  ون  اللقاح هو الحل الامثل لعودة التعليم الوجاهي 
                       
 صحيفة الراي",very negative,2021-04-30 14:32:57
0.9271796999999998,0.072820365,خبراء تربويون  اللقاح هو الحل الامثل لعودة التعليم الوجاهي,very negative,2021-04-30 14:32:49
0.9303877,0.06961228,خاوا يعني اللقاح طيب شو مصلحتكم كل واحد ادرى بصحته,very negative,2021-04-30 14:08:53
0.88435864,0.11564133,"خبراء تربويون  اللقاح هو الحل الامثل لعودة التعليم الوجاهي
 عاجل  رؤيا الاخباري  الاردن  كورونا",very negative,2021-04-30 14:05:24
0.88435864,0.11564133,"خبراء تربويون  اللقاح هو الحل الامثل لعودة التعليم الوجاهي
 عاجل  رؤيا الاخباري  الاردن  كورونا",very negative,2021-04-30 14:05:00
0.88435864,0.11564133,"خبراء تربويون  اللقاح هو الحل الامثل لعودة التعليم الوجاهي
 عاجل  رؤيا الاخباري  الاردن  كورونا",very negative,2021-04-30 14:04:43
0.7796954,0.22030462,"شخص قرر يتلقى اللقاح 
  دائرة المؤامرات الماسونية بامريكا",very negative,2021-04-30 11:35:06
0.9298558000000001,0.07014419,على اعتاب موجة  كورونا جديدة ومع وصول اللقاح  مخاوف من التمييز باعطاء اللقاح في مناطق  النظام  واستخدامه اللقا,very negative,2021-04-30 11:26:49
0.20643497,0.79356503,تلقى عدد من الشخصيات في مديرية صحة  ادلب والكوادر الطبية وعناصر من  الدفاع المدني اللقاح ضد  كوفيد   وذلك في ح,very positive,2021-04-30 11:26:47
0.8970171999999998,0.10298284,روح اخذ اللقاح يمعود تره اكول للسيد عليك ما اخذ اللقاح واخلي يهينك,very negative,2021-04-30 11:16:29
0.98605424,0.013945807,كان لازم اخذت اللقاح الصيني   ما بتشعر باي شيء   شكلو مياه مقطرة,very negative,2021-04-30 10:57:40
0.9249508,0.07504923,الحدث  في الربع الاول    زيادة في وفيات اللقاح المبلغ عنها,very negative,2021-04-30 08:39:10
0.8906018,0.10939814,ما هي  سلالة كورونا الهندية     وما مدى خطورتها  وما هو اللقاح الفع ال معها,very negative,2021-04-30 08:06:50
0.8209556,0.1790444,سلاله جديده قد تغزو العالم يا ايها العالم عندي لقاحا طبيعيا يحميكم من الكورونا وسلالاته   لمن يبادر  ويحمي نفسه من,very negative,2021-04-30 08:05:52
0.8096798000000001,0.19032018,اسرائيل اعلى كيان بالعالم بتوزيع اللقاح على شعبها   اصدروا قرار من فترة بعودة الحياة,very negative,2021-04-30 02:28:09
0.94042134,0.05957864,خاي اخذو اللقاح,very negative,2021-04-30 01:32:26
0.82308245,0.17691758,ما عارضتش كلامك من الاول لانه كلامك في وجه من الصحة  اللقاحات الصينية اقل فاعلية من غيرها لكنها ا,very negative,2021-04-30 00:37:02
0.8308986999999999,0.16910127,والله افضلك ان تاخذي اللقاح وترتاحين,very negative,2021-04-30 00:21:36
0.69544864,0.30455136,وبالنسبة لموضوع الجرعة الثالثة يمكن بعد فترة كلنا نحتاج لجرعة ثالثة من اللقاح مهما كان نوعه لتحفيز الاستجابة اكثر,negative,2021-04-29 23:54:32
0.79085463,0.20914537,"موضوع الاجسام المضادة تريند اهبل طلعوه الشركات عشان يبيعوا     الفحص و الناس تعمل الفحوصات  
المن",very negative,2021-04-29 23:53:48
0.9767268,0.023273218,اليوم الثاني من تلقي جرعة اللقاح الثانية  صداع قوي جد ا وحرارة مرتفعة  ما واجهني هيك اعراض في الجرعة الاولى  اللهم نسا,very negative,2021-04-29 23:05:39
0.9698719000000001,0.030128162000000003,اليوم الثاني من تلقي جرعة اللقاح الثانية  صداع قوي جد ا وحرارة مرتفعة  ما واجهني هيك اعراض في الجرعة الاولى  اللهم نسالك العافية,very negative,2021-04-29 23:02:29
0.9715835999999999,0.028416438,اخذت لقاح استرازينيكا على الرغن من عزوف كثير ناس عنو بسبب الكلام اللي طالع عليه وانتشار الاشاعات والاخبار الغلط عنو,very negative,2021-04-29 21:59:37
0.27350014,0.7264999,"افتتاح المركز الخامس لاعطاء اللقاح دون النزول من السيارة
                       

 الاردن
 جريدة الدستور الاردنية",very positive,2021-04-29 21:31:44
0.8749812,0.1250188,ليش ما يكون بين المقترحات التحفيزية للحصول على اللقاح بنودا لا تحمل التضييق    مثل خصم    على مشتريات المؤسسات المدني,very negative,2021-04-29 20:58:03
0.9044948,0.09550517,مش الي بسال بصراحة  اللقاح ولا العدم,very negative,2021-04-29 20:42:48
0.9553155000000001,0.044684533,احد الاصدقاء اصيب ب  كورونا بعد اخذ الجرعة الاولى من اللقاح  لماذا حدث هذا,very negative,2021-04-29 20:08:34
0.9683288000000001,0.03167119,"هل سنجدد اللقاحات سنويا   

وهل فيه داعي اخذ اللقاح طالما اصبت سابق ا وتعافيت  ومتى 

  زيد السمكري  كورونا",very negative,2021-04-29 20:03:14
0.8135591,0.18644093,زيت قزحة   الف سلامة عليها   ودير بالك لانك ماخد اللقاح جديد,very negative,2021-04-29 19:40:26
0.5755923000000001,0.4244077,"الاردن    خامس مركز لاعطاء اللقاح داخل السيارة

                       

 السوسنة",negative,2021-04-29 19:28:34
0.2270169,0.77298313,"عاجل 
خلية الازمة    شخصا تلقوا الجرعة الاولى من  اللقاح",very positive,2021-04-29 19:27:15
0.95576715,0.044232827,يمكن ما اخد اللقاح,very negative,2021-04-29 18:37:05
0.100280896,0.89971906,افتتاح المركز الخامس لاعطاء  اللقاح  دون النزول من السيارة,very positive,2021-04-29 17:33:44
0.3235849,0.6764150999999999,"تركيا تشتري   مليون جرعة من اللقاح الروسي  سبوتنيك في  

                       

 فلسطين  جريدة القدس  عاجل",positive,2021-04-29 17:30:00
0.16779122,0.8322088,نحو   الف شخص تلقوا اللقاح بالزرقاء,very positive,2021-04-29 17:10:50
0.42923367,0.5707663000000001,هاد الشي كان متوقع  وهيك قرارات هي الوحيدة الي بتخلي الى خايف يصير  قرد  ياخد اللقاح ويفكنا من القرف الى عايشينه,positive,2021-04-29 17:00:47
0.16779122,0.8322088,نحو   الف شخص تلقوا اللقاح بالزرقاء,very positive,2021-04-29 16:58:14
0.7479648,0.25203517,انا قايلك تجمع العلم كله انا بحكيلك عن جزئية اللقاح الي سممت حالك فيه  يزم التحليلات العبقرية للاطباء ه,very negative,2021-04-29 16:41:44
0.9490478000000001,0.050952185,مثل وزيرنا بالزبط لي حط التقصير لي من حكومته على مافيات اللقاح بالعالم,very negative,2021-04-29 16:24:59
0.16779122,0.8322088,نحو   الف شخص تلقوا اللقاح بالزرقاء,very positive,2021-04-29 16:14:52
0.3851456,0.61485445,اجمع مختصون وخبراء في الشان العم الي والاقتصادي على ان الاجراءات والتوصيات  التحفيزية  التي اعلن عنها المركز الوطني للام,positive,2021-04-29 14:51:50
0.8818273999999999,0.11817260000000002,انا رح اتوكل في كل عمل بعمل الى الله ولكن ما دمت بمارس الرياضه واكلي صحي وهيك شي احتمال الاصابه قليل   وما دمت,very negative,2021-04-29 14:09:57
0.9429088999999999,0.057091054,انا رح اتوكل في كل عمل بعمل الى الله ولكن ما دمت بمارس الرياضه واكلي صحي وهيك شي احتمال الاصابه قليل   و,very negative,2021-04-29 14:06:32
0.682628,0.31737205,صح كلامك انا مو منكر اي مرض او اي شي من عند الله لانه انكار ما ياتي من الله كفر   وانا لن اتجراء وانكر و,negative,2021-04-29 14:00:23
0.9624497,0.03755029,انا رح احاول قدر الامكان ما اوخذ اللقاح مو ل اي سبب اولا الله قال وما كنا معذبيهم وهم يستغفرون   ثانيا ع,very negative,2021-04-29 13:39:00
